Sale_ID,Sale_Date,Bike_Model,City,Units_Sold,Revenue_INR
BS001,2025-01-02,Yamaha FZ,Mumbai,4,540000
BS002,2025-01-03,Yamaha FZ,Delhi,9,1215000
BS003,2025-01-04,Honda Shine,Pune,5,450000
BS004,2025-01-05,Hero Splendor,Mumbai,18,1530000
BS005,2025-01-06,Royal Enfield Classic,Mumbai,14,2940000
BS006,2025-01-07,Hero Splendor,Delhi,3,255000
BS007,2025-01-08,Honda Shine,Hyderabad,17,1530000
BS008,2025-01-09,Hero Splendor,Delhi,18,1530000
BS009,2025-01-10,Yamaha FZ,Chennai,18,2430000
BS010,2025-01-11,Honda Shine,Hyderabad,15,1350000
BS011,2025-01-12,Bajaj Pulsar,Delhi,1,120000
BS012,2025-01-13,Yamaha FZ,Bengaluru,14,1890000
BS013,2025-01-14,Bajaj Pulsar,Delhi,5,600000
BS014,2025-01-15,Bajaj Pulsar,Mumbai,4,480000
BS015,2025-01-16,TVS Apache,Bengaluru,4,560000
BS016,2025-01-17,Bajaj Pulsar,Bengaluru,20,2400000
BS017,2025-01-18,Hero Splendor,Hyderabad,15,1275000
BS018,2025-01-19,Hero Splendor,Mumbai,13,1105000
BS019,2025-01-20,Royal Enfield Classic,Pune,10,2100000
BS020,2025-01-21,Royal Enfield Classic,Hyderabad,12,2520000
BS021,2025-01-22,Honda Shine,Mumbai,3,270000
BS022,2025-01-23,Yamaha FZ,Bengaluru,8,1080000
BS023,2025-01-24,Hero Splendor,Mumbai,8,680000
BS024,2025-01-25,TVS Apache,Chennai,9,1260000
BS025,2025-01-26,Yamaha FZ,Delhi,12,1620000
BS026,2025-01-27,Bajaj Pulsar,Delhi,12,1440000
BS027,2025-01-28,Yamaha FZ,Pune,9,1215000
BS028,2025-01-29,Yamaha FZ,Hyderabad,3,405000
BS029,2025-01-30,Yamaha FZ,Hyderabad,6,810000
BS030,2025-01-31,Yamaha FZ,Delhi,8,1080000
BS031,2025-02-01,TVS Apache,Bengaluru,13,1820000
BS032,2025-02-02,Yamaha FZ,Delhi,18,2430000
BS033,2025-02-03,Yamaha FZ,Mumbai,11,1485000
BS034,2025-02-04,Honda Shine,Bengaluru,2,180000
BS035,2025-02-05,TVS Apache,Mumbai,9,1260000
BS036,2025-02-06,Honda Shine,Pune,19,1710000
BS037,2025-02-07,Bajaj Pulsar,Pune,7,840000
BS038,2025-02-08,TVS Apache,Pune,13,1820000
BS039,2025-02-09,TVS Apache,Bengaluru,5,700000
BS040,2025-02-10,Honda Shine,Pune,8,720000
BS041,2025-02-11,Royal Enfield Classic,Bengaluru,18,3780000
BS042,2025-02-12,Yamaha FZ,Chennai,19,2565000
BS043,2025-02-13,Royal Enfield Classic,Bengaluru,13,2730000
BS044,2025-02-14,Honda Shine,Hyderabad,5,450000
BS045,2025-02-15,TVS Apache,Mumbai,3,420000
BS046,2025-02-16,Hero Splendor,Pune,5,425000
BS047,2025-02-17,Honda Shine,Hyderabad,14,1260000
BS048,2025-02-18,Hero Splendor,Chennai,13,1105000
BS049,2025-02-19,Royal Enfield Classic,Hyderabad,15,3150000
BS050,2025-02-20,Bajaj Pulsar,Mumbai,18,2160000
BS051,2025-02-21,Yamaha FZ,Pune,4,540000
BS052,2025-02-22,Royal Enfield Classic,Pune,9,1890000
BS053,2025-02-23,Bajaj Pulsar,Bengaluru,4,480000
BS054,2025-02-24,TVS Apache,Chennai,6,840000
BS055,2025-02-25,Hero Splendor,Hyderabad,9,765000
BS056,2025-02-26,Honda Shine,Mumbai,17,1530000
BS057,2025-02-27,Yamaha FZ,Pune,10,1350000
BS058,2025-02-28,Royal Enfield Classic,Delhi,20,4200000
BS059,2025-03-01,Honda Shine,Delhi,12,1080000
BS060,2025-03-02,Royal Enfield Classic,Mumbai,17,3570000
BS061,2025-03-03,Royal Enfield Classic,Chennai,11,2310000
BS062,2025-03-04,Hero Splendor,Bengaluru,4,340000
BS063,2025-03-05,Bajaj Pulsar,Mumbai,8,960000
BS064,2025-03-06,Honda Shine,Mumbai,19,1710000
BS065,2025-03-07,Hero Splendor,Mumbai,16,1360000
BS066,2025-03-08,Royal Enfield Classic,Delhi,5,1050000
BS067,2025-03-09,Yamaha FZ,Hyderabad,16,2160000
BS068,2025-03-10,Honda Shine,Hyderabad,9,810000
BS069,2025-03-11,Royal Enfield Classic,Delhi,14,2940000
BS070,2025-03-12,Royal Enfield Classic,Pune,7,1470000
BS071,2025-03-13,Bajaj Pulsar,Pune,13,1560000
BS072,2025-03-14,Yamaha FZ,Chennai,12,1620000
BS073,2025-03-15,Royal Enfield Classic,Mumbai,15,3150000
BS074,2025-03-16,Honda Shine,Mumbai,8,720000
